Project Name; Violation Type; Occurrence; Category
apache-jackrabbit;SE_NO_SERIALVERSIONID;139661;Bad practice
apache-jackrabbit;RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE;31448;Dodgy code
apache-jackrabbit;BC_UNCONFIRMED_CAST;75152;Dodgy code
apache-jackrabbit;DLS_DEAD_LOCAL_STORE;51130;Dodgy code
apache-jackrabbit;EI_EXPOSE_REP;85486;Malicious code vulnerability
apache-jackrabbit;SIC_INNER_SHOULD_BE_STATIC_ANON;34661;Performance
apache-jackrabbit;EI_EXPOSE_REP2;64680;Malicious code vulnerability
apache-jackrabbit;SE_BAD_FIELD;19024;Bad practice
apache-jackrabbit;NM_METHOD_NAMING_CONVENTION;42555;Bad practice
apache-jackrabbit;DM_DEFAULT_ENCODING;48799;Internationalization
apache-jackrabbit;REC_CATCH_EXCEPTION;37181;Dodgy code
apache-jackrabbit;UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR;39099;Dodgy code
apache-jackrabbit;PZLA_PREFER_ZERO_LENGTH_ARRAYS;47803;Dodgy code
apache-jackrabbit;BC_UNCONFIRMED_CAST_OF_RETURN_VALUE;33620;Dodgy code
apache-jackrabbit;RI_REDUNDANT_INTERFACES;15587;Dodgy code
apache-jackrabbit;DM_CONVERT_CASE;29934;Internationalization
apache-jackrabbit;ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD;5902;Dodgy code
apache-jackrabbit;SF_SWITCH_NO_DEFAULT;44017;Dodgy code
apache-jackrabbit;MS_SHOULD_BE_FINAL;17145;Malicious code vulnerability
apache-jackrabbit;NP_LOAD_OF_KNOWN_NULL_VALUE;10139;Dodgy code
apache-jackrabbit;URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD;15235;Dodgy code
apache-jackrabbit;URF_UNREAD_FIELD;21618;Performance
apache-jackrabbit;LI_LAZY_INIT_STATIC;3995;Multithreaded correctness
apache-jackrabbit;NM_CLASS_NAMING_CONVENTION;2862;Bad practice
apache-jackrabbit;MS_PKGPROTECT;36009;Malicious code vulnerability
apache-jackrabbit;DM_NUMBER_CTOR;12454;Performance
apache-jackrabbit;UPM_UNCALLED_PRIVATE_METHOD;12432;Performance
apache-jackrabbit;FE_FLOATING_POINT_EQUALITY;6335;Dodgy code
apache-jackrabbit;IS2_INCONSISTENT_SYNC;21397;Multithreaded correctness
apache-jackrabbit;NP_PARAMETER_MUST_BE_NONNULL_BUT_MARKED_AS_NULLABLE;8274;Dodgy code
apache-jackrabbit;SE_TRANSIENT_FIELD_NOT_RESTORED;4451;Bad practice
apache-jackrabbit;NP_METHOD_PARAMETER_TIGHTENS_ANNOTATION;6728;Dodgy code
apache-jackrabbit;SIC_INNER_SHOULD_BE_STATIC;15621;Performance
apache-jackrabbit;RV_RETURN_VALUE_IGNORED_BAD_PRACTICE;20514;Bad practice
apache-jackrabbit;DLS_DEAD_LOCAL_STORE_OF_NULL;2294;Dodgy code
apache-jackrabbit;WMI_WRONG_MAP_ITERATOR;15384;Performance
apache-jackrabbit;DE_MIGHT_IGNORE;13581;Bad practice
apache-jackrabbit;CI_CONFUSED_INHERITANCE;7947;Dodgy code
apache-jackrabbit;NM_CONFUSING;16743;Bad practice
apache-jackrabbit;EQ_DOESNT_OVERRIDE_EQUALS;6944;Dodgy code
apache-jackrabbit;UCF_USELESS_CONTROL_FLOW;5200;Dodgy code
apache-jackrabbit;OBL_UNSATISFIED_OBLIGATION;5068;Experimental
apache-jackrabbit;ES_COMPARING_STRINGS_WITH_EQ;8568;Bad practice
apache-jackrabbit;OS_OPEN_STREAM_EXCEPTION_PATH;10865;Bad practice
apache-jackrabbit;SBSC_USE_STRINGBUFFER_CONCATENATION;11144;Performance
apache-jackrabbit;SF_SWITCH_FALLTHROUGH;5840;Dodgy code
apache-jackrabbit;RCN_REDUNDANT_NULLCHECK_OF_NULL_VALUE;3195;Dodgy code
apache-jackrabbit;DM_FP_NUMBER_CTOR;4250;Performance
apache-jackrabbit;UC_USELESS_CONDITION;7967;Dodgy code
apache-jackrabbit;HE_EQUALS_USE_HASHCODE;5744;Bad practice
apache-jackrabbit;OS_OPEN_STREAM;9821;Bad practice
apache-jackrabbit;SE_INNER_CLASS;4085;Bad practice
apache-jackrabbit;SS_SHOULD_BE_STATIC;9065;Performance
apache-jackrabbit;MS_MUTABLE_ARRAY;28494;Malicious code vulnerability
apache-jackrabbit;IP_PARAMETER_IS_DEAD_BUT_OVERWRITTEN;1273;Correctness
apache-jackrabbit;NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE;13811;Dodgy code
apache-jackrabbit;NP_NULL_ON_SOME_PATH;5654;Correctness
apache-jackrabbit;NP_BOOLEAN_RETURN_NULL;1440;Bad practice
apache-jackrabbit;CN_IDIOM_NO_SUPER_CALL;3673;Bad practice
apache-jackrabbit;OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE;6762;Experimental
apache-jackrabbit;DB_DUPLICATE_SWITCH_CLAUSES;6905;Dodgy code
apache-jackrabbit;SQL_NONCONSTANT_STRING_PASSED_TO_EXECUTE;2234;Security
apache-jackrabbit;RV_RETURN_VALUE_IGNORED_NO_SIDE_EFFECT;4019;Dodgy code
apache-jackrabbit;SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING;5135;Security
apache-jackrabbit;CN_IMPLEMENTS_CLONE_BUT_NOT_CLONEABLE;14093;Bad practice
apache-jackrabbit;SE_BAD_FIELD_STORE;2621;Bad practice
apache-jackrabbit;SE_COMPARATOR_SHOULD_BE_SERIALIZABLE;3724;Bad practice
apache-jackrabbit;VA_FORMAT_STRING_USES_NEWLINE;413;Bad practice
apache-jackrabbit;EQ_COMPARETO_USE_OBJECT_EQUALS;4022;Bad practice
apache-jackrabbit;DM_BOXED_PRIMITIVE_FOR_PARSING;3415;Performance
apache-jackrabbit;RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE;3645;Correctness
apache-jackrabbit;RC_REF_COMPARISON_BAD_PRACTICE_BOOLEAN;772;Bad practice
apache-jackrabbit;DM_EXIT;2731;Bad practice
apache-jackrabbit;ES_COMPARING_PARAMETER_STRING_WITH_EQ;2872;Bad practice
apache-jackrabbit;HE_INHERITS_EQUALS_USE_HASHCODE;9004;Bad practice
