ProjectName;Violation Type;Occurrence;Category
Activiti-Activiti;SIC_INNER_SHOULD_BE_STATIC_ANON;259;Performance
Activiti-Activiti;DLS_DEAD_LOCAL_STORE;141;Dodgy code
Activiti-Activiti;DM_CONVERT_CASE;141;Internationalization
Activiti-Activiti;DM_DEFAULT_ENCODING;89;Internationalization
Activiti-Activiti;UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR;149;Dodgy code
Activiti-Activiti;RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE;353;Dodgy code
Activiti-Activiti;URF_UNREAD_FIELD;2;Performance
Activiti-Activiti;BC_UNCONFIRMED_CAST;489;Dodgy code
Activiti-Activiti;REC_CATCH_EXCEPTION;168;Dodgy code
Activiti-Activiti;BC_UNCONFIRMED_CAST_OF_RETURN_VALUE;67;Dodgy code
Activiti-Activiti;SE_NO_SERIALVERSIONID;264;Bad practice
Activiti-Activiti;UPM_UNCALLED_PRIVATE_METHOD;22;Performance
Activiti-Activiti;MS_SHOULD_BE_FINAL;174;Malicious code vulnerability
Activiti-Activiti;ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD;108;Dodgy code
Activiti-Activiti;EI_EXPOSE_REP2;258;Malicious code vulnerability
Activiti-Activiti;URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD;94;Dodgy code
Activiti-Activiti;WMI_WRONG_MAP_ITERATOR;148;Performance
Activiti-Activiti;EI_EXPOSE_REP;151;Malicious code vulnerability
Activiti-Activiti;NP_LOAD_OF_KNOWN_NULL_VALUE;23;Dodgy code
Activiti-Activiti;DM_NUMBER_CTOR;182;Performance
Activiti-Activiti;SIC_INNER_SHOULD_BE_STATIC;9;Performance
Activiti-Activiti;OS_OPEN_STREAM_EXCEPTION_PATH;15;Bad practice
Activiti-Activiti;SF_SWITCH_NO_DEFAULT;30;Dodgy code
Activiti-Activiti;DE_MIGHT_IGNORE;30;Bad practice
Activiti-Activiti;IS2_INCONSISTENT_SYNC;9;Multithreaded correctness
Activiti-Activiti;DM_BOXED_PRIMITIVE_FOR_PARSING;41;Performance
Activiti-Activiti;RV_RETURN_VALUE_IGNORED_NO_SIDE_EFFECT;2;Dodgy code
Activiti-Activiti;PZLA_PREFER_ZERO_LENGTH_ARRAYS;64;Dodgy code
Activiti-Activiti;RI_REDUNDANT_INTERFACES;11;Dodgy code
Activiti-Activiti;UCF_USELESS_CONTROL_FLOW;14;Dodgy code
Activiti-Activiti;UC_USELESS_CONDITION;135;Dodgy code
Activiti-Activiti;NP_NULL_ON_SOME_PATH;19;Correctness
Activiti-Activiti;UC_USELESS_OBJECT;30;Dodgy code
Activiti-Activiti;DM_FP_NUMBER_CTOR;69;Performance
Activiti-Activiti;MS_PKGPROTECT;40;Malicious code vulnerability
Activiti-Activiti;ES_COMPARING_STRINGS_WITH_EQ;15;Bad practice
Activiti-Activiti;RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE;7;Correctness
Activiti-Activiti;SS_SHOULD_BE_STATIC;4;Performance
Activiti-Activiti;FE_FLOATING_POINT_EQUALITY;13;Dodgy code
Activiti-Activiti;HE_EQUALS_USE_HASHCODE;39;Bad practice
Activiti-Activiti;NM_CONFUSING;4;Bad practice
Activiti-Activiti;LI_LAZY_INIT_STATIC;6;Multithreaded correctness
Activiti-Activiti;SQL_NONCONSTANT_STRING_PASSED_TO_EXECUTE;6;Security
