ID;Violation Type;Occurrences;Percentage1;Spread;Percentage2;Fixed Occurences;Percentage3;Fixed Spread;Percentage4; Categories
1;SE_NO_SERIALVERSIONID;1385971;8,19%;449;61,51%;1951;2,19%;120;21,94%;Bad practice
2;RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE;870591;5,15%;529;72,47%;2881;3,24%;234;42,78%;Dodgy code
3;BC_UNCONFIRMED_CAST;716810;4,24%;454;62,19%;2357;2,65%;157;28,70%;Dodgy code
4;DLS_DEAD_LOCAL_STORE;615898;3,64%;589;80,68%;5101;5,74%;355;64,90%;Dodgy code
5;EI_EXPOSE_REP;540693;3,20%;525;71,92%;1203;1,35%;139;25,41%;Malicious code vulnerability
6;SIC_INNER_SHOULD_BE_STATIC_ANON;532371;3,15%;569;77,95%;7836;8,81%;267;48,81%;Performance
7;EI_EXPOSE_REP2;530962;3,14%;505;69,18%;1337;1,50%;144;26,33%;Malicious code vulnerability
8;SE_BAD_FIELD;514687;3,04%;478;65,48%;261;0,29%;63;11,52%;Bad practice
9;NM_METHOD_NAMING_CONVENTION;468914;2,77%;286;39,18%;2572;2,89%;64;11,70%;Bad practice
10;DM_DEFAULT_ENCODING;421185;2,49%;583;79,86%;3126;3,52%;272;49,73%;Internationalization
11;REC_CATCH_EXCEPTION;411085;2,43%;565;77,40%;2151;2,42%;232;42,41%;Dodgy code
12;UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR;386809;2,29%;546;74,79%;3104;3,49%;262;47,90%;Dodgy code
13;PZLA_PREFER_ZERO_LENGTH_ARRAYS;370524;2,19%;446;61,10%;563;0,63%;82;14,99%;Dodgy code
14;BC_UNCONFIRMED_CAST_OF_RETURN_VALUE;341272;2,02%;406;55,62%;2001;2,25%;122;22,30%;Dodgy code
15;RI_REDUNDANT_INTERFACES;323661;1,91%;415;56,85%;549;0,62%;88;16,09%;Dodgy code
16;DM_CONVERT_CASE;319207;1,89%;536;73,42%;3593;4,04%;219;40,04%;Internationalization
17;ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD;307155;1,82%;411;56,30%;1397;1,57%;133;24,31%;Dodgy code
18;SF_SWITCH_NO_DEFAULT;305826;1,81%;433;59,32%;767;0,86%;118;21,57%;Dodgy code
19;MS_SHOULD_BE_FINAL;291123;1,72%;449;61,51%;1522;1,71%;144;26,33%;Malicious code vulnerability
20;NP_LOAD_OF_KNOWN_NULL_VALUE;236142;1,40%;449;61,51%;1014;1,14%;170;31,08%;Dodgy code
21;URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD;213317;1,26%;463;63,42%;1326;1,49%;174;31,81%;Dodgy code
22;URF_UNREAD_FIELD;212782;1,26%;523;71,64%;2558;2,88%;255;46,62%;Performance
23;LI_LAZY_INIT_STATIC;211553;1,25%;340;46,58%;348;0,39%;68;12,43%;Multithreaded correctness
24;NM_CLASS_NAMING_CONVENTION;208555;1,23%;211;28,90%;85;0,10%;18;3,29%;Bad practice
25;MS_PKGPROTECT;192300;1,14%;395;54,11%;489;0,55%;78;14,26%;Malicious code vulnerability
26;DM_NUMBER_CTOR;186806;1,10%;372;50,96%;922;1,04%;91;16,64%;Performance
27;UPM_UNCALLED_PRIVATE_METHOD;174059;1,03%;490;67,12%;1925;2,17%;227;41,50%;Performance
28;FE_FLOATING_POINT_EQUALITY;173315;1,02%;319;43,70%;426;0,48%;67;12,25%;Dodgy code
29;IS2_INCONSISTENT_SYNC;166780;0,99%;371;50,82%;635;0,71%;103;18,83%;Multithreaded correctness
30;NP_PARAMETER_MUST_BE_NONNULL_BUT_MARKED_AS_NULLABLE;147349;0,87%;173;23,70%;443;0,50%;49;8,96%;Dodgy code
31;SE_TRANSIENT_FIELD_NOT_RESTORED;144075;0,85%;291;39,86%;33;0,04%;18;3,29%;Bad practice
32;NP_METHOD_PARAMETER_TIGHTENS_ANNOTATION;141025;0,83%;113;15,48%;32;0,04%;5;0,91%;Dodgy code
33;SIC_INNER_SHOULD_BE_STATIC;139732;0,83%;489;66,99%;893;1,00%;172;31,44%;Performance
34;RV_RETURN_VALUE_IGNORED_BAD_PRACTICE;131375;0,78%;468;64,11%;1484;1,67%;153;27,97%;Bad practice
35;DLS_DEAD_LOCAL_STORE_OF_NULL;122210;0,72%;243;33,29%;167;0,19%;38;6,95%;Dodgy code
36;WMI_WRONG_MAP_ITERATOR;121493;0,72%;436;59,73%;1305;1,47%;148;27,06%;Performance
37;DE_MIGHT_IGNORE;119873;0,71%;396;54,25%;700;0,79%;110;20,11%;Bad practice
38;CI_CONFUSED_INHERITANCE;105536;0,62%;244;33,42%;208;0,23%;21;3,84%;Dodgy code
39;NM_CONFUSING;103789;0,61%;356;48,77%;378;0,43%;73;13,35%;Bad practice
40;EQ_DOESNT_OVERRIDE_EQUALS;95368;0,56%;316;43,29%;72;0,08%;29;5,30%;Dodgy code
41;UCF_USELESS_CONTROL_FLOW;89248;0,53%;386;52,88%;540;0,61%;129;23,58%;Dodgy code
42;OBL_UNSATISFIED_OBLIGATION;87770;0,52%;381;52,19%;1242;1,40%;121;22,12%;Experimental
43;ES_COMPARING_STRINGS_WITH_EQ;87156;0,52%;333;45,62%;456;0,51%;78;14,26%;Bad practice
44;OS_OPEN_STREAM_EXCEPTION_PATH;82701;0,49%;419;57,40%;813;0,91%;111;20,29%;Bad practice
45;SBSC_USE_STRINGBUFFER_CONCATENATION;80737;0,48%;395;54,11%;860;0,97%;126;23,03%;Performance
46;SF_SWITCH_FALLTHROUGH;74729;0,44%;294;40,27%;133;0,15%;50;9,14%;Dodgy code
47;RCN_REDUNDANT_NULLCHECK_OF_NULL_VALUE;68051;0,40%;291;39,86%;213;0,24%;65;11,88%;Dodgy code
48;DM_FP_NUMBER_CTOR;68014;0,40%;293;40,14%;511;0,58%;47;8,59%;Performance
49;UC_USELESS_CONDITION;66771;0,39%;365;50,00%;524;0,59%;84;15,36%;Dodgy code
50;HE_EQUALS_USE_HASHCODE;65295;0,39%;323;44,25%;416;0,47%;67;12,25%;Bad practice
51;OS_OPEN_STREAM;61645;0,36%;385;52,74%;455;0,51%;120;21,94%;Bad practice
52;SE_INNER_CLASS;61570;0,36%;227;31,10%;158;0,18%;26;4,75%;Bad practice
53;SS_SHOULD_BE_STATIC;61257;0,36%;326;44,66%;436;0,49%;89;16,27%;Performance
54;MS_MUTABLE_ARRAY;57751;0,34%;189;25,89%;159;0,18%;23;4,20%;Malicious code vulnerability
